,T1,T2,Q1,time,run
266,76.264,47.002,100.0,1684955646.0883176,0.0
267,76.328,46.873,100.0,1684955647.299866,0.0
268,76.328,47.324,100.0,1684955648.5116904,0.0
269,76.554,47.292,100.0,1684955649.7233334,0.0
270,76.65,47.034,100.0,1684955650.9352338,0.0
271,76.618,47.389,100.0,1684955652.2773497,0.0
272,76.618,47.582,100.0,1684955653.4890597,0.0
273,76.973,47.679,100.0,1684955654.7012968,0.0
274,76.973,47.55,100.0,1684955655.913264,0.0
275,76.94,47.679,100.0,1684955657.1252308,0.0
276,77.102,47.614,100.0,1684955658.3368943,0.0
277,77.198,48.162,100.0,1684955659.5489204,0.0
278,77.23,47.453,100.0,1684955660.7609365,0.0
279,77.295,47.969,100.0,1684955661.9730542,0.0
280,77.166,47.969,100.0,1684955663.1844285,0.0
281,77.327,47.969,100.0,1684955664.3962183,0.0
282,77.521,48.033,100.0,1684955665.6078305,0.0
283,77.617,48.001,100.0,1684955666.8203244,0.0
284,77.617,48.194,100.0,1684955668.0326889,0.0
285,77.585,48.355,100.0,1684955669.2444117,0.0
286,77.585,48.259,100.0,1684955670.4561968,0.0
287,77.617,48.839,100.0,1684955671.6686597,0.0
288,77.617,48.323,100.0,1684955672.8807244,0.0
289,77.617,48.291,100.0,1684955674.0931618,0.0
290,77.553,49.032,100.0,1684955675.3052585,0.0
291,77.714,48.388,100.0,1684955676.517569,0.0
292,77.875,48.452,100.0,1684955677.729423,0.0
293,77.907,48.613,100.0,1684955678.9411376,0.0
294,77.939,48.517,100.0,1684955680.1533842,0.0
295,77.939,48.646,100.0,1684955681.3649514,0.0
296,77.939,48.452,100.0,1684955682.5768876,0.0
297,77.907,48.903,100.0,1684955683.7893643,0.0
298,78.197,48.646,100.0,1684955685.0007951,0.0
299,78.101,48.936,100.0,1684955686.2131696,0.0
300,78.262,48.71,100.0,1684955687.4247677,0.0
301,78.262,48.936,0.0,1684955688.7473788,0.0
302,78.391,49.193,0.0,1684955689.9395554,0.0
303,78.584,49.258,0.0,1684955691.1321743,0.0
304,78.584,49.258,0.0,1684955692.3245583,0.0
305,78.584,49.258,0.0,1684955693.517305,0.0
306,78.584,49.258,0.0,1684955694.709837,0.0
307,78.326,49.258,0.0,1684955695.9021215,0.0
308,78.262,49.58,0.0,1684955697.0944211,0.0
309,78.262,49.58,0.0,1684955698.2868593,0.0
310,78.229,49.58,0.0,1684955699.4794714,0.0
311,77.939,49.58,0.0,1684955700.6722825,0.0
312,77.907,49.58,0.0,1684955701.8646195,0.0
313,77.617,49.58,0.0,1684955703.0569568,0.0
314,77.585,49.58,0.0,1684955704.2493708,0.0
315,77.295,49.58,0.0,1684955705.4420602,0.0
316,76.973,49.58,0.0,1684955706.6346142,0.0
317,76.65,49.612,0.0,1684955707.8269486,0.0
318,76.393,49.612,0.0,1684955709.0199456,0.0
319,76.167,49.773,0.0,1684955710.2120988,0.0
320,76.006,49.902,0.0,1684955711.4043162,0.0
321,75.684,49.902,0.0,1684955712.5969296,0.0
322,75.232,49.902,0.0,1684955713.789559,0.0
323,74.846,49.902,0.0,1684955714.9820962,0.0
324,74.556,49.902,0.0,1684955716.1744142,0.0
325,74.072,49.902,0.0,1684955717.3666708,0.0
326,73.75,49.87,0.0,1684955718.559172,0.0
327,73.428,49.87,0.0,1684955719.7522838,0.0
328,73.105,49.902,0.0,1684955720.944239,0.0
329,72.783,49.806,0.0,1684955722.136685,0.0
330,72.461,49.709,0.0,1684955723.3289466,0.0
331,71.816,49.709,0.0,1684955724.6514015,0.0
332,71.494,49.58,0.0,1684955725.8438745,0.0
333,71.172,49.58,0.0,1684955727.0365212,0.0
334,70.85,49.58,0.0,1684955728.2287898,0.0
335,70.237,49.58,0.0,1684955729.4213333,0.0
336,69.883,49.58,0.0,1684955730.6139212,0.0
337,69.561,49.58,0.0,1684955731.8066885,0.0
338,69.238,49.58,0.0,1684955732.999133,0.0
339,68.819,49.58,0.0,1684955734.191425,0.0
340,68.368,49.548,0.0,1684955735.3837268,0.0
341,67.949,49.419,0.0,1684955736.576113,0.0
342,67.627,49.29,0.0,1684955737.7686746,0.0
343,67.305,49.258,0.0,1684955738.9614794,0.0
344,66.982,49.258,0.0,1684955740.153978,0.0
345,66.66,49.258,0.0,1684955741.346,0.0
346,66.112,49.258,0.0,1684955742.538325,0.0
347,65.693,49.258,0.0,1684955743.7312062,0.0
348,65.371,49.161,0.0,1684955744.9233685,0.0
349,65.049,49.0,0.0,1684955746.1156747,0.0
350,64.727,48.936,0.0,1684955747.3079505,0.0
351,64.404,48.936,0.0,1684955748.5002246,0.0
352,64.082,48.936,0.0,1684955749.693082,0.0
353,63.76,48.936,0.0,1684955750.8850906,0.0
354,63.405,48.936,0.0,1684955752.0779054,0.0
355,63.019,48.936,0.0,1684955753.2702286,0.0
356,62.632,48.742,0.0,1684955754.4625456,0.0
357,62.213,48.613,0.0,1684955755.6554213,0.0
358,61.891,48.613,0.0,1684955756.8478825,0.0
359,61.504,48.581,0.0,1684955758.0403965,0.0
360,61.182,48.323,0.0,1684955759.2330177,0.0
361,60.859,48.291,0.0,1684955760.555321,0.0
362,60.537,48.259,0.0,1684955761.748255,0.0
363,60.215,48.162,0.0,1684955762.9403968,0.0
364,59.893,47.969,0.0,1684955764.132975,0.0
365,59.57,47.969,0.0,1684955765.3258238,0.0
366,59.248,47.969,0.0,1684955766.5180917,0.0
367,58.926,47.969,0.0,1684955767.7107809,0.0
368,58.604,47.969,0.0,1684955768.9032195,0.0
369,58.281,47.743,0.0,1684955770.095441,0.0
370,58.023,47.646,0.0,1684955771.288587,0.0
371,57.895,47.646,0.0,1684955772.480655,0.0
372,57.637,47.646,0.0,1684955773.6733792,0.0
373,57.314,47.389,0.0,1684955774.8658738,0.0
374,56.992,47.324,0.0,1684955776.058296,0.0
375,56.67,47.324,0.0,1684955777.2509017,0.0
376,56.348,47.228,0.0,1684955778.4429476,0.0
377,56.025,47.002,0.0,1684955779.6356807,0.0
378,55.703,47.002,0.0,1684955780.8281446,0.0
379,55.413,47.002,0.0,1684955782.0207498,0.0
380,55.381,46.873,0.0,1684955783.213637,0.0
381,55.059,46.68,0.0,1684955784.4059093,0.0
382,54.736,46.68,0.0,1684955785.5981655,0.0
383,54.414,46.647,0.0,1684955786.790935,0.0
